store_primary_category,total_items,subtotal,num_distinct_items,min_item_price,max_item_price,total_onshift_partners,total_busy_partners,total_outstanding_orders,delivery_duration,partner_density,order_day,order_hour,order_period,busy_ratio,avg_item_price,order_size,grouped_category,order_period_encoded,log_delivery_duration,is_high_duration
american,7,3513,3,75,3029,17.0,17.0,26.0,5110.0,0.6296296296296297,Sunday,4,Night,0.9444444444444444,501.8571428571428,Medium,American,3,8.53915035876828,1
dessert,4,2230,4,410,490,52.0,53.0,106.0,5619.0,0.4859813084112149,Thursday,3,Night,1.0,557.5,Medium,Desserts,3,8.634086942887738,1
barbecue,3,4295,2,395,1850,33.0,35.0,71.0,5051.0,0.4583333333333333,Monday,3,Night,1.0294117647058822,1431.6666666666667,Small,American,3,8.527539483470381,1
italian,1,1595,1,1595,1595,105.0,102.0,163.0,5366.0,0.6402439024390244,Sunday,3,Night,0.9622641509433962,1595.0,Small,Italian,3,8.588024372176829,1
chinese,3,1875,1,625,625,52.0,49.0,83.0,5088.0,0.6190476190476191,Sunday,3,Night,0.9245283018867924,625.0,Small,Asian,3,8.534836626588833,1
chinese,5,3550,1,710,710,67.0,58.0,63.0,5102.0,1.046875,Thursday,3,Night,0.8529411764705882,710.0,Small,Asian,3,8.537583881063972,1
chinese,3,1080,3,160,710,60.0,62.0,90.0,5139.0,0.6593406593406593,Saturday,3,Night,1.0163934426229508,360.0,Medium,Asian,3,8.544808358449211,1
salad,3,970,3,160,600,8.0,9.0,15.0,5696.0,0.5,Thursday,0,Night,1.0,323.3333333333333,Medium,Healthy,3,8.647694999480395,1
chinese,2,790,2,190,600,29.0,26.0,26.0,6252.0,1.0740740740740742,Thursday,4,Night,0.8666666666666667,395.0,Small,Asian,3,8.740816627567298,1
japanese,6,4700,6,500,1000,2.0,3.0,3.0,5014.0,0.5,Monday,1,Night,1.0,783.3333333333334,Medium,Asian,3,8.520188700396035,1
steak,6,3250,5,0,1400,15.0,16.0,24.0,5295.0,0.6,Monday,2,Night,1.0,541.6666666666666,Medium,American,3,8.574707097616844,1
pizza,1,2395,1,2395,2395,64.0,62.0,125.0,4983.0,0.5079365079365079,Monday,2,Night,0.953846153846154,2395.0,Small,Italian,3,8.51398806046729,1
cafe,6,1950,3,245,375,2.0,2.0,3.0,5320.0,0.5,Sunday,15,Afternoon,0.6666666666666666,325.0,Medium,Other,0,8.579416534596369,1
american,4,5315,3,325,2495,15.0,15.0,25.0,5255.0,0.5769230769230769,Sunday,3,Night,0.9375,1328.75,Medium,American,3,8.567125560164447,1
american,3,2175,3,375,1125,11.0,14.0,16.0,5198.0,0.6470588235294118,Sunday,3,Night,1.1666666666666667,725.0,Medium,American,3,8.556221578383715,1
mexican,2,2858,1,1429,1429,16.0,16.0,42.0,5314.0,0.3720930232558139,Saturday,3,Night,0.9411764705882352,1429.0,Small,Mexican,3,8.57828829077605,1
mexican,2,2428,2,499,1450,20.0,18.0,39.0,5822.0,0.5,Saturday,2,Night,0.8571428571428571,1214.0,Small,Mexican,3,8.66957087183712,1
mediterranean,3,4137,3,599,1629,28.0,26.0,44.0,5476.0,0.6222222222222222,Saturday,4,Night,0.896551724137931,1379.0,Medium,Mediterranean,3,8.608312784783722,1
pizza,1,735,1,735,735,20.0,21.0,22.0,4993.0,0.8695652173913043,Sunday,1,Night,1.0,735.0,Small,Italian,3,8.515992470839718,1
chinese,4,2400,1,600,600,34.0,30.0,30.0,5296.0,1.096774193548387,Friday,20,Evening,0.8571428571428571,600.0,Small,Asian,1,8.574895901544526,1
japanese,6,2460,6,175,695,74.0,80.0,177.0,5263.0,0.4157303370786517,Monday,3,Night,1.0666666666666669,410.0,Medium,Asian,3,8.568646473005153,1
pizza,1,2337,1,1899,1899,47.0,47.0,80.0,4958.0,0.5802469135802469,Thursday,3,Night,0.9791666666666666,2337.0,Small,Italian,3,8.508959386489133,1
fast,9,865,3,0,340,47.0,47.0,58.0,5699.0,0.7966101694915254,Saturday,6,Morning,0.9791666666666666,96.11111111111111,Medium,Fast Food,2,8.648221453822641,1
pizza,2,1854,2,204,900,50.0,49.0,80.0,6259.0,0.6172839506172839,Sunday,3,Night,0.9607843137254902,927.0,Small,Italian,3,8.741935464094144,1
pizza,5,2249,4,100,1200,49.0,26.0,39.0,5216.0,1.225,Wednesday,2,Night,0.52,449.8,Medium,Italian,3,8.559677803022392,1
pizza,9,3262,4,100,1200,30.0,32.0,48.0,5867.0,0.6122448979591837,Monday,4,Night,1.032258064516129,362.44444444444446,Medium,Italian,3,8.677269139262872,1
catering,1,900,1,900,900,16.0,16.0,17.0,5164.0,0.8888888888888888,Sunday,2,Night,0.9411764705882352,900.0,Small,Other,3,8.549660381553739,1
fast,15,666,5,0,139,0.0,0.0,0.0,4947.0,0.0,Monday,5,Morning,0.0,44.4,Medium,Fast Food,2,8.506738733512378,1
indian,1,1895,1,1895,1895,83.0,80.0,110.0,5153.0,0.7477477477477478,Sunday,3,Night,0.9523809523809524,1895.0,Small,Indian,3,8.54752839121231,1
pizza,1,1915,1,1915,1915,54.0,54.0,108.0,5775.0,0.4954128440366973,Thursday,2,Night,0.9818181818181818,1915.0,Small,Italian,3,8.661466680572662,1
pizza,3,5890,3,695,2800,69.0,65.0,119.0,5279.0,0.575,Saturday,2,Night,0.9285714285714286,1963.3333333333333,Medium,Italian,3,8.571681376700306,1
pizza,2,3490,2,1050,1765,54.0,54.0,98.0,5054.0,0.5454545454545454,Thursday,3,Night,0.9818181818181818,1745.0,Small,Italian,3,8.528133131454572,1
mexican,4,1776,2,429,459,11.0,11.0,13.0,5330.0,0.7857142857142857,Thursday,2,Night,0.9166666666666666,444.0,Small,Mexican,3,8.581294116822761,1
hawaiian,2,1465,2,125,1340,17.0,18.0,26.0,5924.0,0.6296296296296297,Saturday,2,Night,1.0,732.5,Small,Other,3,8.686935966003333,1
chinese,4,1800,2,190,710,36.0,28.0,30.0,5348.0,1.1612903225806452,Sunday,1,Night,0.7567567567567568,450.0,Small,Asian,3,8.58466490653125,1
japanese,5,4970,5,475,1595,123.0,101.0,217.0,5359.0,0.5642201834862385,Saturday,2,Night,0.8145161290322581,994.0,Medium,Asian,3,8.586719254064848,1
italian,1,1595,1,1395,1395,42.0,40.0,45.0,4949.0,0.9130434782608696,Wednesday,1,Night,0.9302325581395348,1595.0,Small,Italian,3,8.507142855562735,1
greek,1,899,1,899,899,43.0,43.0,59.0,5478.0,0.7166666666666667,Saturday,3,Night,0.9772727272727272,899.0,Small,Mediterranean,3,8.608677881538416,1
pizza,4,5181,4,799,1599,51.0,48.0,112.0,5284.0,0.4513274336283185,Monday,3,Night,0.9230769230769232,1295.25,Medium,Italian,3,8.572627898304338,1
chinese,4,2220,2,510,600,0.0,0.0,0.0,5337.0,0.0,Monday,0,Night,0.0,555.0,Small,Asian,3,8.58260632996447,1
chinese,1,835,1,710,710,0.0,0.0,0.0,6229.0,0.0,Tuesday,3,Night,0.0,835.0,Small,Asian,3,8.737131611781498,1
indian,8,4600,4,200,1400,34.0,39.0,69.0,5957.0,0.4857142857142857,Thursday,4,Night,1.1142857142857143,575.0,Medium,Indian,3,8.692490133273228,1
indian,6,5000,5,200,1500,50.0,70.0,86.0,6363.0,0.5747126436781609,Sunday,3,Night,1.3725490196078431,833.3333333333334,Medium,Indian,3,8.758412389457677,1
indian,1,1895,1,1895,1895,61.0,65.0,156.0,5169.0,0.3885350318471338,Monday,3,Night,1.0483870967741935,1895.0,Small,Indian,3,8.550627967502475,1
indian,5,5640,3,350,2295,126.0,106.0,178.0,6027.0,0.7039106145251397,Saturday,2,Night,0.8346456692913385,1128.0,Medium,Indian,3,8.704170559746386,1
pizza,3,3195,2,1050,1095,45.0,49.0,89.0,4934.0,0.5,Saturday,4,Night,1.065217391304348,1065.0,Small,Italian,3,8.504107951867582,1
pizza,1,1895,1,1895,1895,42.0,43.0,69.0,6005.0,0.6,Saturday,1,Night,1.0,1895.0,Small,Italian,3,8.700514248543275,1
thai,2,2348,2,1049,1299,24.0,24.0,36.0,5713.0,0.6486486486486487,Saturday,3,Night,0.96,1174.0,Small,Asian,3,8.65067458279072,1
thai,3,1647,3,199,849,6.0,6.0,5.0,4989.0,1.0,Thursday,22,Night,0.8571428571428571,549.0,Medium,Asian,3,8.515191188745565,1
pizza,6,5470,6,600,1200,25.0,24.0,48.0,5957.0,0.5102040816326531,Saturday,3,Night,0.9230769230769232,911.6666666666666,Medium,Italian,3,8.692490133273228,1
pizza,1,935,1,735,735,11.0,11.0,19.0,6371.0,0.55,Tuesday,3,Night,0.9166666666666666,935.0,Small,Italian,3,8.759668671029939,1
pizza,4,3670,3,500,1200,25.0,25.0,37.0,5190.0,0.6578947368421053,Sunday,2,Night,0.9615384615384616,917.5,Medium,Italian,3,8.55468163582723,1
greek,4,5194,2,1099,1199,88.0,87.0,175.0,5420.0,0.5,Thursday,3,Night,0.9775280898876404,1298.5,Small,Mediterranean,3,8.598035579260339,1
greek,3,4396,3,1099,1499,129.0,128.0,261.0,5499.0,0.4923664122137404,Saturday,2,Night,0.9846153846153848,1465.3333333333333,Medium,Mediterranean,3,8.612503371220562,1
american,4,3300,3,500,1150,12.0,18.0,28.0,5505.0,0.4137931034482758,Sunday,23,Night,1.3846153846153846,825.0,Medium,American,3,8.613593685702552,1
american,1,1500,1,1200,1200,52.0,52.0,110.0,6222.0,0.4684684684684684,Monday,3,Night,0.981132075471698,1500.0,Small,American,3,8.736007384569218,1
japanese,4,4770,4,175,1950,125.0,114.0,243.0,5237.0,0.5122950819672131,Saturday,3,Night,0.9047619047619048,1192.5,Medium,Asian,3,8.563695025067657,1
chinese,5,3395,5,299,1199,4.0,7.0,7.0,5160.0,0.5,Friday,4,Night,1.4,679.0,Medium,Asian,3,8.548885638148727,1
dessert,1,600,1,500,500,15.0,17.0,37.0,4955.0,0.3947368421052631,Monday,0,Night,1.0625,600.0,Small,Desserts,3,8.508354242749032,1
dessert,2,1075,2,500,500,55.0,55.0,71.0,5182.0,0.7638888888888888,Saturday,4,Night,0.9821428571428572,537.5,Small,Desserts,3,8.553139318189707,1
pizza,4,3302,4,299,1349,16.0,21.0,41.0,5466.0,0.3809523809523809,Monday,0,Night,1.2352941176470589,825.5,Medium,Italian,3,8.606485298894999,1
pizza,3,4271,3,699,1599,16.0,19.0,29.0,5417.0,0.5333333333333333,Monday,0,Night,1.1176470588235294,1423.6666666666667,Medium,Italian,3,8.59748202264504,1
burger,3,1807,2,539,729,37.0,38.0,57.0,4991.0,0.6379310344827587,Monday,1,Night,1.0,602.3333333333334,Small,Fast Food,3,8.515591910049263,1
chinese,2,890,2,160,710,0.0,0.0,0.0,5573.0,0.0,Sunday,3,Night,0.0,445.0,Small,Asian,3,8.625868208041894,1
japanese,3,1100,3,350,400,50.0,49.0,95.0,5070.0,0.5208333333333334,Saturday,3,Night,0.9607843137254902,366.6666666666667,Medium,Asian,3,8.531293315795018,1
american,2,2190,2,650,950,16.0,16.0,34.0,6113.0,0.4571428571428571,Sunday,2,Night,0.9411764705882352,1095.0,Small,American,3,8.71833650245078,1
indian,8,4996,6,250,999,48.0,59.0,85.0,5224.0,0.5581395348837209,Sunday,2,Night,1.2040816326530612,624.5,Medium,Indian,3,8.561210076833012,1
indian,6,2497,6,250,999,49.0,46.0,90.0,6235.0,0.5384615384615384,Sunday,2,Night,0.92,416.1666666666667,Medium,Indian,3,8.738094230177667,1
indian,7,3095,4,150,999,59.0,59.0,91.0,4975.0,0.6413043478260869,Friday,2,Night,0.9833333333333332,442.1428571428572,Medium,Indian,3,8.512381634419015,1
indian,1,1299,1,1299,1299,15.0,14.0,25.0,5009.0,0.5769230769230769,Monday,5,Morning,0.875,1299.0,Small,Indian,2,8.51919119407891,1
thai,1,945,1,945,945,22.0,24.0,44.0,6022.0,0.4888888888888889,Thursday,3,Night,1.0434782608695652,945.0,Small,Asian,3,8.70334075304372,1
pizza,2,1735,2,600,735,15.0,16.0,25.0,6240.0,0.5769230769230769,Monday,3,Night,1.0,867.5,Small,Italian,3,8.738895704934043,1
pizza,5,4930,5,600,1295,22.0,22.0,46.0,5335.0,0.4680851063829787,Monday,2,Night,0.9565217391304348,986.0,Medium,Italian,3,8.58223158759546,1
pizza,1,995,1,595,595,13.0,12.0,21.0,5050.0,0.5909090909090909,Monday,2,Night,0.8571428571428571,995.0,Small,Italian,3,8.527341522468053,1
pizza,1,1335,1,735,735,20.0,20.0,45.0,5476.0,0.4347826086956521,Monday,2,Night,0.9523809523809524,1335.0,Small,Italian,3,8.608312784783722,1
pizza,1,935,1,735,735,16.0,18.0,30.0,6037.0,0.5161290322580645,Tuesday,3,Night,1.0588235294117647,935.0,Small,Italian,3,8.705828110266784,1
american,4,3600,4,500,1200,14.0,15.0,25.0,6366.0,0.5384615384615384,Monday,2,Night,1.0,900.0,Medium,American,3,8.758883680017025,1
american,2,1741,2,129,1612,14.0,14.0,21.0,4941.0,0.6363636363636364,Tuesday,2,Night,0.9333333333333332,870.5,Small,American,3,8.505525386548555,1
american,1,1019,1,1019,1019,10.0,10.0,18.0,5620.0,0.5263157894736842,Sunday,4,Night,0.9090909090909092,1019.0,Small,American,3,8.634264863002075,1
american,3,2800,3,500,1150,11.0,12.0,20.0,6146.0,0.5238095238095238,Tuesday,0,Night,1.0,933.3333333333334,Medium,American,3,8.72371943690701,1
american,3,2250,3,500,1150,60.0,60.0,86.0,5972.0,0.6896551724137931,Monday,2,Night,0.9836065573770492,750.0,Medium,American,3,8.695004592732307,1
dessert,2,1515,2,295,1095,82.0,84.0,151.0,5080.0,0.5394736842105263,Thursday,3,Night,1.0120481927710845,757.5,Small,Desserts,3,8.533263371593732,1
american,3,2900,3,550,1200,25.0,26.0,32.0,5632.0,0.7575757575757576,Wednesday,2,Night,1.0,966.6666666666666,Medium,American,3,8.636397438894713,1
american,5,3500,4,500,1150,24.0,24.0,29.0,5568.0,0.8,Monday,1,Night,0.96,700.0,Medium,American,3,8.624970783589669,1
japanese,7,3315,3,425,595,2.0,2.0,10.0,5169.0,0.1818181818181818,Tuesday,1,Night,0.6666666666666666,473.57142857142856,Medium,Asian,3,8.550627967502475,1
mexican,1,710,1,710,710,4.0,5.0,9.0,5910.0,0.4,Friday,19,Evening,1.0,710.0,Small,Mexican,1,8.684570300824369,1
chinese,3,1100,3,160,710,3.0,3.0,6.0,5453.0,0.4285714285714285,Tuesday,20,Evening,0.75,366.6666666666667,Medium,Asian,1,8.604104563405533,1
japanese,1,2206,1,2250,2249,24.0,17.0,37.0,5194.0,0.631578947368421,Monday,1,Night,0.68,2206.0,Small,Asian,3,8.555451903533328,1
japanese,7,4151,7,490,1197,26.0,22.0,42.0,5767.0,0.6046511627906976,Monday,2,Night,0.8148148148148148,593.0,Large,Asian,3,8.660080678964786,1
american,3,3570,3,925,1550,8.0,9.0,7.0,5418.0,1.0,Thursday,2,Night,1.0,1190.0,Medium,American,3,8.597666575566114,1
cafe,5,1565,5,175,375,2.0,1.0,1.0,5434.0,1.0,Wednesday,22,Night,0.3333333333333333,313.0,Medium,Other,3,8.60061479955531,1
barbecue,5,3070,4,100,1075,9.0,9.0,24.0,5815.0,0.36,Thursday,2,Night,0.9,614.0,Medium,American,3,8.668368019213355,1
american,1,795,1,795,795,5.0,5.0,8.0,5881.0,0.5555555555555556,Saturday,17,Evening,0.8333333333333334,795.0,Small,American,1,8.67965211911394,1
pasta,4,2815,4,250,995,70.0,62.0,67.0,4979.0,1.0294117647058822,Saturday,20,Evening,0.8732394366197183,703.75,Medium,Italian,1,8.513185170018698,1
indian,4,3996,3,499,1299,56.0,56.0,93.0,5360.0,0.5957446808510638,Saturday,2,Night,0.9824561403508772,999.0,Medium,Indian,3,8.586905803827538,1
indian,2,1598,2,599,999,27.0,42.0,74.0,5085.0,0.36,Thursday,4,Night,1.5,799.0,Small,Indian,3,8.534246945982066,1
italian,4,6200,4,1000,2200,76.0,79.0,129.0,5011.0,0.5846153846153846,Monday,1,Night,1.025974025974026,1550.0,Medium,Italian,3,8.51959031601596,1
seafood,2,2100,2,900,1200,24.0,25.0,27.0,5551.0,0.8571428571428571,Wednesday,3,Night,1.0,1050.0,Small,Other,3,8.62191350218664,1
sandwich,2,1690,2,395,1095,18.0,18.0,21.0,5448.0,0.8181818181818182,Monday,21,Evening,0.9473684210526316,845.0,Small,Fast Food,1,8.603187384583098,1
sandwich,1,1245,1,1095,1095,1.0,1.0,1.0,5064.0,0.5,Saturday,16,Afternoon,0.5,1245.0,Small,Fast Food,0,8.530109416682784,1
sandwich,2,1690,2,395,1195,14.0,16.0,16.0,5117.0,0.8235294117647058,Monday,21,Evening,1.0666666666666669,845.0,Small,Fast Food,1,8.540519016719735,1
sandwich,1,1295,1,1295,1295,22.0,24.0,44.0,5225.0,0.4888888888888889,Thursday,3,Night,1.0434782608695652,1295.0,Small,Fast Food,3,8.561401446080557,1
sandwich,4,1950,2,350,525,8.0,9.0,13.0,5111.0,0.5714285714285714,Monday,0,Night,1.0,487.5,Small,Fast Food,3,8.53934599605737,1
pizza,1,1695,1,1295,1295,19.0,19.0,39.0,5242.0,0.475,Thursday,2,Night,0.95,1695.0,Small,Italian,3,8.564649132572534,1
american,2,2038,1,1019,1019,14.0,16.0,21.0,5973.0,0.6363636363636364,Tuesday,3,Night,1.0666666666666669,1019.0,Small,American,3,8.695171998776056,1
thai,4,2090,3,150,895,53.0,56.0,85.0,5424.0,0.6162790697674418,Thursday,3,Night,1.037037037037037,522.5,Medium,Asian,3,8.59877317840866,1
dim-sum,4,3835,4,695,1025,0.0,0.0,0.0,5600.0,0.0,Monday,1,Night,0.0,958.75,Medium,Asian,3,8.630700432209832,1
american,1,2137,1,1628,1655,9.0,6.0,21.0,5794.0,0.4090909090909091,Saturday,18,Evening,0.6,2137.0,Small,American,1,8.664750755773852,1
sandwich,2,1150,2,225,850,10.0,9.0,8.0,5687.0,1.1111111111111112,Friday,22,Night,0.8181818181818182,575.0,Small,Fast Food,3,8.646113971483077,1
barbecue,2,3800,2,1375,2425,23.0,18.0,30.0,5840.0,0.7419354838709677,Saturday,2,Night,0.75,1900.0,Small,American,3,8.67265729404031,1
barbecue,5,6115,5,400,2795,25.0,12.0,18.0,5601.0,1.3157894736842106,Friday,2,Night,0.4615384615384615,1223.0,Medium,American,3,8.630878955820053,1
barbecue,4,5705,4,550,2735,12.0,11.0,9.0,6200.0,1.2,Sunday,1,Night,0.8461538461538461,1426.25,Medium,American,3,8.732465848349879,1
japanese,5,1100,4,150,250,6.0,6.0,7.0,6339.0,0.75,Tuesday,20,Evening,0.8571428571428571,220.0,Medium,Asian,1,8.754634047431272,1
japanese,1,950,1,850,850,26.0,26.0,32.0,5639.0,0.7878787878787878,Tuesday,19,Evening,0.9629629629629628,950.0,Small,Asian,1,8.637639344492104,1
american,2,1820,2,995,995,0.0,0.0,0.0,5287.0,0.0,Saturday,21,Evening,0.0,910.0,Small,American,1,8.573195381531523,1
japanese,4,5400,4,900,1700,123.0,121.0,201.0,6231.0,0.6089108910891089,Sunday,2,Night,0.9758064516129032,1350.0,Medium,Asian,3,8.737452587550584,1
japanese,7,6280,7,600,1400,97.0,103.0,213.0,6215.0,0.4532710280373832,Saturday,3,Night,1.0510204081632653,897.1428571428571,Large,Asian,3,8.734881892047483,1
seafood,3,3200,3,500,1700,8.0,8.0,9.0,6170.0,0.8,Monday,19,Evening,0.8888888888888888,1066.6666666666667,Medium,Other,1,8.727616178321068,1
